run,k,n,method,step,time
test,64,20,gen_instance,all, 9.0
test,64,20,plain_MIP,build+solve,2.3
test,64,20,CPP,BDD-build,107.7
test,64,20,CPP,MIP-build,13.1
test,64,20,CPP,MIP-solve,13.6
test,64,20,CPP,VS-build+solve,73.2
test,64,20,CPP,BDD-align-to-vs,87.9
test,64,20,CPP,intersection-build,4.5
test,64,20,CPP,intersection-SP-solve,1.1
test,65,20,gen_instance,all, 7.8
test,65,20,plain_MIP,build+solve,1.7
test,65,20,CPP,BDD-build,74.5
test,65,20,CPP,MIP-build,13.1
test,65,20,CPP,MIP-solve,9.2
test,65,20,CPP,VS-build+solve,49.7
test,65,20,CPP,BDD-align-to-vs,56.5
test,65,20,CPP,intersection-build,5.9
test,65,20,CPP,intersection-SP-solve,1.3
test,66,20,gen_instance,all, 9.1
test,66,20,plain_MIP,build+solve,2.6
test,66,20,CPP,BDD-build,95.5
test,66,20,CPP,MIP-build,15.9
test,66,20,CPP,MIP-solve,13.5
test,66,20,CPP,VS-build+solve,113.2
test,66,20,CPP,BDD-align-to-vs,87.5
test,66,20,CPP,intersection-build,5.7
test,66,20,CPP,intersection-SP-solve,1.1
test,67,20,gen_instance,all, 8.5
test,67,20,plain_MIP,build+solve,2.3
test,67,20,CPP,BDD-build,125.0
test,67,20,CPP,MIP-build,59.5
test,67,20,CPP,MIP-solve,15.0
test,67,20,CPP,VS-build+solve,103.3
test,67,20,CPP,BDD-align-to-vs,99.8
test,67,20,CPP,intersection-build,4.6
test,67,20,CPP,intersection-SP-solve,1.2
test,68,20,gen_instance,all, 8.1
test,68,20,plain_MIP,build+solve,2.0
test,68,20,CPP,BDD-build,148.9
test,68,20,CPP,MIP-build,18.8
test,68,20,CPP,MIP-solve,12.5
test,68,20,CPP,VS-build+solve,64.2
test,68,20,CPP,BDD-align-to-vs,67.4
test,68,20,CPP,intersection-build,7.2
test,68,20,CPP,intersection-SP-solve,1.2
test,69,20,gen_instance,all, 7.8
test,69,20,plain_MIP,build+solve,1.6
test,69,20,CPP,BDD-build,246.1
test,69,20,CPP,MIP-build,33.6
test,69,20,CPP,MIP-solve,22.6
test,69,20,CPP,VS-build+solve,59.0
