k, VS_status, AB_simscore, no_opts, opts_diam, best_VS_simscore, worst_VS_simscore, exp_time
31, optimal, 61.9, 8, 19.0, 81.0, 66.7, 16.7
32, optimal, 61.9, 8, 14.3, 100.0, 90.5, 14.2
33, optimal, 47.6, 12, 19.0, 52.4, 38.1, 14.3
34, optimal, 71.4, 6, 14.3, 100.0, 85.7, 12.4
35, optimal, 38.1, 12, 33.3, 57.1, 33.3, 13.1
36, optimal, 28.6, 12, 28.6, 42.9, 14.3, 15.3
37, optimal, 52.4, 4, 9.5, 66.7, 61.9, 6.3
38, optimal, 42.9, 1, 0.0, 61.9, 61.9, 8.9
39, optimal, 57.1, 6, 14.3, 95.2, 81.0, 7.7
40, optimal, 61.9, 8, 19.0, 33.3, 23.8, 11.9
41, optimal, 47.6, 4, 9.5, 28.6, 23.8, 12.2
42, optimal, 66.7, 10, 23.8, 85.7, 61.9, 7.2
43, optimal, 61.9, 2, 4.8, 66.7, 66.7, 7.3
44, optimal, 28.6, 24, 23.8, 61.9, 42.9, 6.2
45, optimal, 76.2, 8, 19.0, 71.4, 57.1, 6.4
46, optimal, 57.1, 10, 23.8, 76.2, 57.1, 6.4
47, optimal, 61.9, 12, 19.0, 85.7, 66.7, 2.8
48, optimal, 52.4, 60, 38.1, 66.7, 28.6, 3.6
49, optimal, 57.1, 6, 14.3, 47.6, 42.9, 3.0
50, optimal, 61.9, 240, 52.4, 95.2, 42.9, 2.6
51, optimal, 57.1, 2, 4.8, 71.4, 71.4, 3.8
52, optimal, 19.0, 27, 90.5, 71.4, 33.3, 3.2
53, optimal, 38.1, 240, 52.4, 90.5, 38.1, 2.5
54, optimal, 42.9, 8, 14.3, 33.3, 23.8, 3.3
55, optimal, 61.9, 12, 19.0, 71.4, 52.4, 3.2
56, optimal, 19.0, 1, 0.0, 38.1, 38.1, 8.6
57, optimal, 66.7, 16, 23.8, 71.4, 52.4, 9.4
58, optimal, 71.4, 12, 19.0, 95.2, 76.2, 10.0
59, optimal, 42.9, 12, 19.0, 85.7, 66.7, 7.9
60, optimal, 38.1, 8, 19.0, 47.6, 33.3, 9.1
61, optimal, 52.4, 48, 33.3, 95.2, 61.9, 5.4
62, optimal, 47.6, 2, 4.8, 52.4, 52.4, 9.0
63, optimal, 42.9, 144, 42.9, 85.7, 42.9, 4.7
64, optimal, 38.1, 7, 38.1, 52.4, 19.0, 3.8
65, optimal, 33.3, 16, 28.6, 61.9, 38.1, 2.7
66, optimal, 66.7, 16, 28.6, 90.5, 71.4, 3.4
67, optimal, 57.1, 12, 19.0, 95.2, 76.2, 5.9
68, optimal, 76.2, 4, 9.5, 90.5, 85.7, 8.3
69, optimal, 61.9, 12, 19.0, 90.5, 71.4, 6.0
70, optimal, 23.8, 16, 71.4, 71.4, 19.0, 11.4
71, optimal, 42.9, 6, 14.3, 71.4, 61.9, 9.5
72, optimal, 57.1, 8, 23.8, 95.2, 76.2, 13.7
73, optimal, 38.1, 144, 42.9, 85.7, 42.9, 5.9
74, optimal, 71.4, 2, 4.8, 95.2, 95.2, 8.0
75, optimal, 47.6, 48, 33.3, 81.0, 47.6, 5.4
76, optimal, 33.3, 48, 33.3, 100.0, 66.7, 8.2
77, optimal, 28.6, 240, 52.4, 90.5, 38.1, 10.0
78, optimal, 28.6, 14, 28.6, 71.4, 42.9, 12.7
79, optimal, 28.6, 2, 4.8, 28.6, 28.6, 12.6
80, optimal, 38.1, 48, 33.3, 66.7, 33.3, 10.0
81, optimal, 71.4, 12, 28.6, 81.0, 57.1, 7.5
82, optimal, 71.4, 4, 9.5, 95.2, 90.5, 9.0
83, optimal, 42.9, 8, 14.3, 61.9, 47.6, 4.9
84, optimal, 71.4, 3, 9.5, 85.7, 81.0, 4.0
85, optimal, 33.3, 4, 14.3, 81.0, 71.4, 4.0
86, optimal, 66.7, 4, 9.5, 61.9, 57.1, 3.2
87, optimal, 66.7, 12, 33.3, 100.0, 71.4, 5.0
