run,k,n,method,step,time
test,47,5,CPP,BDD-build,3.0
test,47,5,CPP,MIP-build,1.4
test,47,5,CPP,MIP-solve,0.6
test,47,5,CPP,VS-build+solve,0.5
test,47,5,CPP,BDD-align-to-vs,1.5
test,47,5,CPP,intersection-build,0.1
test,47,5,CPP,intersection-SP-solve,0.0
test,47,5,CPP,BDD-align-gsifts,13.5
test,47,5,CPP,intersection-gsifts-build,0.1
test,47,5,CPP,intersection-gsifts-SP-solve,0.0
test,48,5,gen_instance,all, 2.1
test,48,5,plain_MIP,build+solve,0.6
test,48,5,CPP,BDD-build,2.8
test,48,5,CPP,MIP-build,1.5
test,48,5,CPP,MIP-solve,0.3
test,48,5,CPP,VS-build+solve,0.4
test,48,5,CPP,BDD-align-to-vs,1.2
test,48,5,CPP,intersection-build,0.2
test,48,5,CPP,intersection-SP-solve,0.0
test,48,5,CPP,BDD-align-gsifts,12.3
test,48,5,CPP,intersection-gsifts-build,0.1
test,48,5,CPP,intersection-gsifts-SP-solve,0.0
test,49,5,gen_instance,all, 3.0
test,49,5,plain_MIP,build+solve,0.5
test,49,5,CPP,BDD-build,3.0
test,49,5,CPP,MIP-build,2.1
test,49,5,CPP,MIP-solve,0.3
test,49,5,CPP,VS-build+solve,1.6
test,49,5,CPP,BDD-align-to-vs,1.6
test,49,5,CPP,intersection-build,0.2
test,49,5,CPP,intersection-SP-solve,0.1
test,49,5,CPP,BDD-align-gsifts,14.2
test,49,5,CPP,intersection-gsifts-build,0.1
test,49,5,CPP,intersection-gsifts-SP-solve,0.0
test,50,5,gen_instance,all, 2.0
test,50,5,plain_MIP,build+solve,0.4
test,50,5,CPP,BDD-build,3.4
test,50,5,CPP,MIP-build,1.6
test,50,5,CPP,MIP-solve,0.4
test,50,5,CPP,VS-build+solve,0.5
test,50,5,CPP,BDD-align-to-vs,1.0
test,50,5,CPP,intersection-build,0.2
test,50,5,CPP,intersection-SP-solve,0.0
test,50,5,CPP,BDD-align-gsifts,12.4
test,50,5,CPP,intersection-gsifts-build,0.1
test,50,5,CPP,intersection-gsifts-SP-solve,0.0
test,51,5,gen_instance,all, 3.4
test,51,5,plain_MIP,build+solve,0.4
