N,instance,num_type,value,comment
9,1099,simpl_opt_status,0,optimal
9,1099,orig_simpl_time,0.02346658706665039,--none--
9,1099,orig_simpl_obj,126,--none--
9,1099,orig_gsifts1p_time,0.03885197639465332,--none--
9,1099,orig_gsifts1p_obj,106,--none--
5,109,simpl_opt_status,0,optimal
5,109,orig_simpl_time,0.0069048404693603516,--none--
5,109,orig_simpl_obj,26,--none--
5,109,orig_gsifts1p_time,0.005933284759521484,--none--
5,109,orig_gsifts1p_obj,26,--none--
5,10,simpl_opt_status,0,optimal
5,10,orig_simpl_time,0.0053942203521728516,--none--
5,10,orig_simpl_obj,21,--none--
5,10,orig_gsifts1p_time,0.004950284957885742,--none--
5,10,orig_gsifts1p_obj,18,--none--
9,1100,simpl_opt_status,0,optimal
9,1100,orig_simpl_time,0.022217988967895508,--none--
9,1100,orig_simpl_obj,118,--none--
9,1100,orig_gsifts1p_time,0.03793954849243164,--none--
9,1100,orig_gsifts1p_obj,116,--none--
9,1101,simpl_opt_status,0,optimal
9,1101,orig_simpl_time,0.021274805068969727,--none--
9,1101,orig_simpl_obj,91,--none--
9,1101,orig_gsifts1p_time,0.028180837631225586,--none--
9,1101,orig_gsifts1p_obj,78,--none--
9,1102,simpl_opt_status,0,optimal
